"16253,""{compat} FORM margins not backwards compatible"",""major""";;
"26184,""block code reflows nested floating table with 0 mComputedWidth"",""major""";;
"27927,""images jump when clicked on: bad floater placement"",""major""";;
"26556,""Deeply nested, unbalanced tables (<table> with no closing </table>) not handled gracefully"",""major""";;
"27043,""CSS top&bottom margins not showing when nested inside a table"",""major""";;
"27652,""<table border> not showing border"",""major""";;
"27224,""Problems with INPUT TEXT tags"",""major""";;
"28150,""Cannot fill out the form"",""major""";;
"27374,""Combo Boxes often appear only 2 pixels wide"",""major""";;
"3922,""[4.xP] CNavDTD is seriously broken wrt implied end tags"",""major""";;
"25510,""Can't type in Netscape Webmail's to: cc: or bcc: fields"",""major""";;
"28289,""Animated images leak"",""major""";;
"27691,""Cannot print images"",""major""";;
"27775,""cannot load oracle site (due to javascript error?)"",""major""";;
"20893,""Cache preferences need to be hooked up"",""major""";;
"28108,""charsets not cached for """"View|Character Coding"""" menu"",""major""";;
"1802,""<tr align=left/right/center> not working"",""major""";;
"22009,""Textfield prints very narrow"",""major""";;
"29293,""Can't ftp from granite"",""major""";;
"24944,""Cartman pages could not display non-ASCII"",""major""";;
"12513,""HTMLSelectElement.options.selectedIndex not supported"",""major""";;
"28506,""don't set cliprect when drawing a box's children"",""major""";;
"10736,""sched - MakeAbsolute performance (supporting large files) (gagan, )"",""major""";;
"7514,""Feature Req: Boxes need to support CSS vertical-align and align"",""major""";;
"28215,""The security Advisor shows garbage in the bottom frame - Linux"",""major""";;
"16575,""Fails to download some files on a page"",""major""";;
